abbreviation	EC
US7P1PT	2.7.1.11
ADCOBASr	3.5.1.90
RBTDG	1.1.1.56
EDA	4.1.2.14
H202D	1.11.1.1
CMPDAi	3.5.4.12
ETHAP	4.99.1.-
AKGS	1.2.4.2,1.8.1.4,2.3.1.61
PSFrmq	1.8.5.-
KARA2	1.1.1.86
IPPS	4.1.3.12
LEVANASE_1e	3.2.1.65
LEVANASE_2e	3.2.1.65
LEVANASE_3e	3.2.1.65
LEVANASE_4e	3.2.1.65
FORMCOAT	2.8.3.16
OXCOADC	4.1.1.8
ATPS3	3.6.3.14
NO2OX	1.7.99.4
KAS17rev	2.3.1.41
CYTDH	3.2.2.8
FA180ACPHrev	3.1.4.14
CCOuq	1.10.3.10
ALGD	1.1.1.132
NO2rDmq	1.7.2.1
COF420H	1.12.98.1
MCOMR	2.8.4.1
MCOX2	1.5.98.2
MH4MPTMT	2.1.1.86
PSLACL	4.4.1.19
GLUSx	1.4.1.13
GLUSy	1.4.1.13
MPHZEH	1.12.98.3
COF420_NADP_OX	1.5.1.40
MCMMT	2.1.1.246
AMYe	3.2.1.1
APSRmq	1.8.4.8
SO3R	1.8.99.1
HMGCOARxi	1.1.1.88
SHCHCS	4.2.99.20
PKL	4.1.2.9
LMNe	3.2.1.6
LMN2e	3.2.1.6
DNMPPA	3.6.1.-
AROH	4.2.1.51
TAURPYRAT	2.6.1.77
SACALDACT	2.3.3.15
PRKIN	2.7.1.19
SHMGTyOX	1.1.1.284
FDOXR	1.7.7.1
SULFR	1.8.2.1
2MECOAOX	1.3.8.1
2MECOAOX	1.3.8.7
2MECOAOX	1.3.99.12
IBCOAMPO	1.3.8.1,1.3.8.7,1.3.99.12
OXGDC	4.1.1.71
1PPDCRx	1.5.1.21
1PPDCRy	1.5.1.21
LPCDH	1.5.99.3
LPCOX	1.5.3.7
NFLGLNH	3.5.3.8
NHFRBOr	1.7.99.7
NIR	1.7.2.1
PRE3A	1.14.13.83
FACOALib	6.2.1.3
FACOALiv	6.2.1.3
UTPATPT	2.7.4.10
LICHN_DEGe	3.2.1.73
S7P1K	2.7.1.11
LacR	5.1.2.1
DPR	1.1.1.169
MICITD	4.2.1.99
PCHOLAR_HSABCt	3.6.3.44 or 3.6.3.1
PCHOLMYR_HsABCt	3.6.3.44 or 3.6.3.1
PCHOLPALME-HSABCt	3.6.3.44 or 3.6.3.1
PEAR_HSABCt	3.6.3.1
PAIL_hs_t1e	3.6.3.44 or 3.6.3.1
PCHOLPALME-HSt1e	3.6.3.44 or 3.6.3.1
PEAR_HSt1e	3.6.3.44 or 3.6.3.1
SPHMYLN180241_hs_t1	3.6.3.1
SPHMYLN18114_hs_t1	3.6.3.1
SPHMYLN18115_hs_t1	3.6.3.1
SPHMYLN18116_hs_t1	3.6.3.1
SPHMYLN181161_hs_t1	3.6.3.1
SPHMYLN18117_hs_t1	3.6.3.1
2HXIC_Lt1e	3.6.3.44
EX_CE1310(e)	3.1.2.2
EX_T4hcinnm(e)	1.3.8.8
HMR_0001	3.1.1.34
HMR_0001	3.1.1.23
HMR_0002	3.1.1.34
HMR_0003	3.1.1.3
HMR_0004	TCDB:3.A.1.211.1
HMR_0005	3.1.1.23
HMR_0006	3.1.1.34
HMR_0006	3.1.1.23
HMR_0007	3.1.1.34
HMR_0008	3.1.1.34
HMR_0009	TCDB:4.C.1.1.5
HMR_0009	TCDB:4.C.1.1.8
HMR_0010	3.1.1.23
HMR_0011	TCDB:3.A.1.211.1
HMR_0012	TCDB:4.C.1.1.5
HMR_0012	TCDB:4.C.1.1.8
HMR_0013	3.1.1.34
HMR_0014	3.1.1.34
HMR_0015	TCDB:3.A.1.211.1
HMR_0016	TCDB:4.C.1.1.5
HMR_0016	TCDB:4.C.1.1.8
HMR_0017	6.2.1.3
HMR_0019	3.1.2.2
HMR_0020	TCDB:3.A.1.211.1
HMR_0024	TCDB:4.C.1.1.5
HMR_0024	TCDB:4.C.1.1.8
HMR_0025	6.2.1.3
HMR_0026	3.1.2.2
HMR_0027	TCDB:3.A.1.211.1
HMR_0028	TCDB:4.C.1.1.5
HMR_0028	TCDB:4.C.1.1.8
HMR_0029	6.2.1.3
HMR_0030	3.1.2.2
HMR_0155	TCDB:4.C.1.1.5
HMR_0155	TCDB:4.C.1.1.8
HMR_0156	6.2.1.2
HMR_0157	6.2.1.3
HMR_0164	TCDB:4.C.1.1.5
HMR_0164	TCDB:4.C.1.1.8
HMR_0165	6.2.1.2
HMR_0166	6.2.1.3
HMR_0167	TCDB:4.C.1.1.5
HMR_0167	TCDB:4.C.1.1.8
HMR_0168	6.2.1.2
HMR_0170	TCDB:4.C.1.1.5
HMR_0170	TCDB:4.C.1.1.8
HMR_0171	6.2.1.2
HMR_0172	TCDB:3.A.1.211.1
HMR_0176	TCDB:4.C.1.1.5
HMR_0176	TCDB:4.C.1.1.8
HMR_0177	6.2.1.2
HMR_0178	3.1.2.2
HMR_0180	6.2.1.2
HMR_0182	6.2.1.3
HMR_0183	TCDB:4.C.1.1.5
HMR_0183	TCDB:4.C.1.1.8
HMR_0184	6.2.1.2
HMR_0185	6.2.1.3
HMR_0188	6.2.1.3
HMR_0189	3.1.2.2
HMR_0191	TCDB:4.C.1.1.5
HMR_0191	TCDB:4.C.1.1.8
HMR_0192	6.2.1.3
HMR_0193	3.1.2.2
HMR_0194	TCDB:3.A.1.211.1
HMR_0197	3.1.2.2
HMR_0200	6.2.1.3
HMR_0201	3.1.2.2
HMR_0203	TCDB:4.C.1.1.5
HMR_0203	TCDB:4.C.1.1.8
HMR_0204	6.2.1.3
HMR_0206	3.1.2.2
HMR_0207	TCDB:3.A.1.211.1
HMR_0208	TCDB:4.C.1.1.5
HMR_0208	TCDB:4.C.1.1.8
HMR_0209	6.2.1.3
HMR_0210	3.1.2.2
HMR_0211	TCDB:3.A.1.211.1
HMR_0214	3.1.2.2
HMR_0215	TCDB:3.A.1.211.1
HMR_0230	3.1.2.2
HMR_0232	TCDB:4.C.1.1.5
HMR_0232	TCDB:4.C.1.1.8
HMR_0233	6.2.1.3
HMR_0234	3.1.2.2
HMR_0235	TCDB:3.A.1.211.1
HMR_0238	3.1.2.2
HMR_0239	TCDB:3.A.1.211.1
HMR_0240	TCDB:4.C.1.1.5
HMR_0240	TCDB:4.C.1.1.8
HMR_0241	6.2.1.3
HMR_0242	3.1.2.2
HMR_0243	TCDB:3.A.1.211.1
HMR_0244	TCDB:4.C.1.1.5
HMR_0244	TCDB:4.C.1.1.8
HMR_0245	6.2.1.3
HMR_0246	3.1.2.2
HMR_0247	TCDB:3.A.1.211.1
HMR_0253	TCDB:3.A.1.211.1
HMR_0254	TCDB:4.C.1.1.5
HMR_0254	TCDB:4.C.1.1.8
HMR_0255	6.2.1.3
HMR_0256	3.1.2.2
HMR_0257	TCDB:3.A.1.211.1
HMR_0259	6.2.1.3
HMR_0260	3.1.2.2
HMR_0261	TCDB:3.A.1.211.1
HMR_0267	6.2.1.3
HMR_0268	3.1.2.2
HMR_0270	TCDB:4.C.1.1.5
HMR_0270	TCDB:4.C.1.1.8
HMR_0271	6.2.1.3
HMR_0272	3.1.2.2
HMR_0273	TCDB:3.A.1.211.1
HMR_0276	3.1.2.2
HMR_0277	TCDB:3.A.1.211.1
HMR_0278	TCDB:4.C.1.1.5
HMR_0278	TCDB:4.C.1.1.8
HMR_0279	6.2.1.3
HMR_0280	3.1.2.2
HMR_0281	TCDB:3.A.1.211.1
HMR_0287	TCDB:3.A.1.211.1
HMR_0288	TCDB:4.C.1.1.5
HMR_0288	TCDB:4.C.1.1.8
HMR_0289	6.2.1.3
HMR_0290	3.1.2.2
HMR_0291	TCDB:3.A.1.211.1
HMR_0292	TCDB:4.C.1.1.5
HMR_0292	TCDB:4.C.1.1.8
HMR_0293	6.2.1.3
HMR_0296	TCDB:4.C.1.1.5
HMR_0296	TCDB:4.C.1.1.8
HMR_0297	6.2.1.3
HMR_0298	3.1.2.2
HMR_0299	TCDB:3.A.1.211.1
HMR_0300	TCDB:4.C.1.1.5
HMR_0300	TCDB:4.C.1.1.8
HMR_0301	6.2.1.3
HMR_0302	3.1.2.2
HMR_0303	TCDB:3.A.1.211.1
HMR_0304	TCDB:4.C.1.1.5
HMR_0304	TCDB:4.C.1.1.8
HMR_0305	6.2.1.3
HMR_0306	3.1.2.2
HMR_0307	TCDB:3.A.1.211.1
HMR_0308	TCDB:4.C.1.1.5
HMR_0308	TCDB:4.C.1.1.8
HMR_0309	6.2.1.3
HMR_0310	3.1.2.2
HMR_0311	TCDB:3.A.1.211.1
HMR_0317	TCDB:3.A.1.211.1
HMR_0319	6.2.1.3
HMR_0321	TCDB:3.A.1.211.1
HMR_0322	TCDB:4.C.1.1.5
HMR_0322	TCDB:4.C.1.1.8
HMR_0323	6.2.1.3
HMR_0324	3.1.2.2
HMR_0325	TCDB:3.A.1.211.1
HMR_0326	TCDB:4.C.1.1.5
HMR_0326	TCDB:4.C.1.1.8
HMR_0327	6.2.1.3
HMR_0328	3.1.2.2
HMR_0329	TCDB:3.A.1.211.1
HMR_0342	3.1.2.2
HMR_0343	TCDB:3.A.1.211.1
HMR_0344	TCDB:4.C.1.1.5
HMR_0344	TCDB:4.C.1.1.8
HMR_0345	6.2.1.3
HMR_0346	3.1.2.2
HMR_0347	TCDB:3.A.1.211.1
HMR_0350	3.1.2.2
HMR_0354	3.1.2.2
HMR_0358	3.1.2.2
HMR_0359	TCDB:3.A.1.211.1
HMR_0362	3.1.2.2
HMR_0363	TCDB:3.A.1.211.1
HMR_0366	3.1.2.2
HMR_0367	TCDB:3.A.1.211.1
HMR_0370	3.1.2.2
HMR_0371	TCDB:3.A.1.211.1
HMR_0374	3.1.2.2
HMR_0375	TCDB:3.A.1.211.1
HMR_0378	3.1.2.2
HMR_0380	TCDB:4.C.1.1.5
HMR_0380	TCDB:4.C.1.1.8
HMR_0381	6.2.1.3
HMR_0382	3.1.2.2
HMR_0383	TCDB:3.A.1.211.1
HMR_0384	TCDB:4.C.1.1.5
HMR_0384	TCDB:4.C.1.1.8
HMR_0385	6.2.1.3
HMR_0386	3.1.2.2
HMR_0387	TCDB:3.A.1.211.1
HMR_0388	TCDB:4.C.1.1.5
HMR_0388	TCDB:4.C.1.1.8
HMR_0389	6.2.1.3
HMR_0390	3.1.2.2
HMR_0391	TCDB:3.A.1.211.1
HMR_0392	TCDB:4.C.1.1.5
HMR_0392	TCDB:4.C.1.1.8
HMR_0393	6.2.1.3
HMR_0394	3.1.2.2
HMR_0395	TCDB:3.A.1.211.1
HMR_0398	3.1.2.2
HMR_0402	3.1.2.2
HMR_0406	3.1.2.2
HMR_0410	3.1.2.2
HMR_0414	3.1.2.2
HMR_0415	TCDB:3.A.1.211.1
HMR_0418	3.1.2.2
HMR_0419	TCDB:3.A.1.211.1
HMR_0422	3.1.2.2
HMR_0423	TCDB:3.A.1.211.1
HMR_0426	3.1.2.2
HMR_0427	TCDB:3.A.1.211.1
HMR_0428	TCDB:4.C.1.1.5
HMR_0428	TCDB:4.C.1.1.8
HMR_0429	6.2.1.3
HMR_0430	3.1.2.2
HMR_0431	TCDB:3.A.1.211.1
HMR_0432	TCDB:4.C.1.1.5
HMR_0432	TCDB:4.C.1.1.8
HMR_0433	6.2.1.3
HMR_0434	3.1.2.2
HMR_0435	TCDB:3.A.1.211.1
HMR_0436	TCDB:4.C.1.1.5
HMR_0436	TCDB:4.C.1.1.8
HMR_0437	6.2.1.3
HMR_0438	3.1.2.2
HMR_0439	TCDB:3.A.1.211.1
HMR_0462	2.3.1.15
HMR_0463	3.1.1.4
HMR_0467	2.3.1.15
HMR_0468	2.7.8.2
HMR_0469	TCDB:3.A.1.201.3
HMR_0470	TCDB:3.A.1.201.3
HMR_0477	2.3.1.15
HMR_0478	1.1.1.94
HMR_0482	1.1.5.3
HMR_0484	2.3.1.15
HMR_0486	2.3.1.15
HMR_0487	2.3.1.15
HMR_0488	2.3.1.15
HMR_0489	2.3.1.15
HMR_0490	2.3.1.15
HMR_0491	2.3.1.15
HMR_0492	2.3.1.15
HMR_0495	2.3.1.15
HMR_0496	2.3.1.15
HMR_0497	2.3.1.15
HMR_0498	2.3.1.15
HMR_0500	2.3.1.15
HMR_0501	2.3.1.15
HMR_0503	2.3.1.15
HMR_0504	2.3.1.15
HMR_0505	2.3.1.15
HMR_0506	2.3.1.15
HMR_0507	2.3.1.15
HMR_0508	2.3.1.15
HMR_0509	2.3.1.15
HMR_0510	2.3.1.15
HMR_0511	2.3.1.15
HMR_0512	2.3.1.15
HMR_0513	2.3.1.15
HMR_0514	2.3.1.15
HMR_0515	2.3.1.15
HMR_0516	2.3.1.15
HMR_0517	2.3.1.15
HMR_0518	2.3.1.15
HMR_0519	2.3.1.15
HMR_0520	2.3.1.15
HMR_0521	2.3.1.15
HMR_0522	2.3.1.15
HMR_0523	2.3.1.15
HMR_0524	2.3.1.15
HMR_0525	2.3.1.15
HMR_0526	2.3.1.15
HMR_0527	2.3.1.15
HMR_0528	2.3.1.15
HMR_0529	2.3.1.15
HMR_0530	2.3.1.15
HMR_0531	2.3.1.15
HMR_0532	2.3.1.15
HMR_0533	2.3.1.15
HMR_0535	2.3.1.15
HMR_0536	2.3.1.15
HMR_0538	2.3.1.15
HMR_0539	2.3.1.15
HMR_0540	2.3.1.15
HMR_0541	2.3.1.15
HMR_0542	2.3.1.15
HMR_0543	2.3.1.15
HMR_0544	2.3.1.15
HMR_0545	4.1.1.65
HMR_0546	3.1.4.4
HMR_0547	3.1.1.4
HMR_0548	2.3.1.23
HMR_0549	3.1.1.5
HMR_0550	2.3.1.43
HMR_0551	3.1.4.2
HMR_0552	2.3.1.6
HMR_0553	3.1.1.7
HMR_0553	3.1.1.8
HMR_0555	3.1.4.4
HMR_0556	3.1.1.4
HMR_0557	2.3.1.23
HMR_0558	3.1.1.5
HMR_0559	3.1.4.2
HMR_0560	4.3.1.7
HMR_0578	2.1.1.17
HMR_0579	2.3.1.15
HMR_0580	2.3.1.51
HMR_0581	2.7.7.41
HMR_0582	2.7.8.5
HMR_0586	2.7.8.-
HMR_0587	3.1.1.3
HMR_0588	2.3.1.51
HMR_0589	2.3.1.51
HMR_0590	2.3.1.51
HMR_0591	2.3.1.51
HMR_0592	2.3.1.51
HMR_0593	2.3.1.51
HMR_0594	2.3.1.51
HMR_0597	3.1.3.4
HMR_0598	3.1.3.4
HMR_0599	3.1.3.4
HMR_0600	3.1.3.4
HMR_0601	3.1.3.4
HMR_0602	3.1.3.4
HMR_0605	2.3.1.20
HMR_0605	2.3.1.22
HMR_0607	2.7.7.41
HMR_0612	3.1.1.23
HMR_0613	2.7.8.11
HMR_0614	2.7.8.1
HMR_0615	2.7.8.1
HMR_0616	4.1.1.65
HMR_0625	2.7.8.2
HMR_0629	3.1.4.4
HMR_0630	3.1.1.4
HMR_0632	2.3.1.23
HMR_0633	3.1.1.5
HMR_0634	2.3.1.43
HMR_0641	3.1.1.7
HMR_0641	3.1.1.8
HMR_0642	3.1.4.4
HMR_0643	3.1.1.4
HMR_0644	2.3.1.23
HMR_0645	3.1.1.5
HMR_0646	3.1.4.2
HMR_0647	4.3.1.7
HMR_0653	2.1.1.17
HMR_0654	2.1.1.17
HMR_0657	2.1.1.17
HMR_0663	3.1.4.11
HMR_0664	3.5.1.23
HMR_0665	3.1.1.3
HMR_0667	3.1.1.3
HMR_0668	3.1.1.3
HMR_0669	3.1.1.3
HMR_0670	3.1.1.3
HMR_0671	3.1.1.3
HMR_0672	3.1.1.3
HMR_0673	2.7.1.94
HMR_0674	2.7.1.94
HMR_0675	2.7.1.94
HMR_0676	2.7.1.94
HMR_0677	2.7.1.94
HMR_0678	2.7.1.94
HMR_0679	3.1.1.23
HMR_0680	3.1.1.23
HMR_0681	3.1.1.23
HMR_0682	3.1.1.23
HMR_0683	3.1.1.23
HMR_0684	3.1.1.23
HMR_0685	3.1.3.4
HMR_0686	3.2.1.23
HMR_0687	3.2.1.45
HMR_0688	3.1.6.8
HMR_0689	2.8.2.11
HMR_0690	3.2.1.46
HMR_0691	3.1.6.2
HMR_0692	3.1.4.12
HMR_0703	1.2.1.2
HMR_0705	2.3.1.42
HMR_0706	2.3.1.42
HMR_0707	3.2.1.22
HMR_0708	2.3.1.42
HMR_0715	1.14.-.-
HMR_0716	3.5.1.23
HMR_0717	3.2.1.52
HMR_0718	1.1.99.2
HMR_0719	1.1.1.95
HMR_0733	3.5.1.23
HMR_0750	2.3.1.24
HMR_0753	3.5.1.23
HMR_0758	2.3.1.24
HMR_0761	2.4.1.80
HMR_0763	2.7.8.3
HMR_0765	2.4.1.-
HMR_0767	3.1.3.4
HMR_0769	3.2.1.23
HMR_0770	2.4.99.9
HMR_0771	3.2.1.52
HMR_0775	3.1.3.4
HMR_0783	3.1.3.4
HMR_0792	2.8.2.11
HMR_0793	3.2.1.46
HMR_0795	3.1.4.12
HMR_0803	3.2.1.22
HMR_0805	2.4.1.79
HMR_0806	2.4.1.79
HMR_0807	3.2.1.52
HMR_0808	3.2.1.52
HMR_0809	2.4.1.-
HMR_0810	2.4.1.88
HMR_0811	3.2.1.49
HMR_0812	2.4.99.4
HMR_0813	2.4.1.69
HMR_0814	2.4.99.8
HMR_0815	2.4.1.92
HMR_0816	2.4.1.62
HMR_0817	2.4.99.4
HMR_0819	3.2.1.23
HMR_0820	2.4.99.9
HMR_0821	3.2.1.52
HMR_0822	2.4.99.-
HMR_0823	2.4.99.-
HMR_0823	2.4.99.7
HMR_0824	2.4.99.9
HMR_0825	3.2.1.18
HMR_0827	2.4.1.92
HMR_0828	3.2.1.52
HMR_0829	2.4.1.62
HMR_0830	3.2.1.23
HMR_0831	2.4.99.8
HMR_0834	3.2.1.18
HMR_0835	2.4.1.92
HMR_0836	3.2.1.52
HMR_0837	2.4.99.4
HMR_0839	2.4.99.-
HMR_0840	2.4.99.-
HMR_0841	2.4.99.8
HMR_0842	2.4.1.92
HMR_0843	2.4.1.62
HMR_0844	2.4.99.4
HMR_0846	2.4.99.-
HMR_0847	3.2.1.18
HMR_0848	2.4.99.-
HMR_0849	2.4.99.9
HMR_0851	2.4.99.8
HMR_0852	2.4.99.8
HMR_0853	2.4.99.8
HMR_0854	2.4.99.8
HMR_0855	2.4.99.8
HMR_0855	2.4.99.-
HMR_0856	2.4.1.92
HMR_0857	2.4.1.62
HMR_0858	2.4.1.87
HMR_0859	2.4.1.206
HMR_0860	2.4.1.86
HMR_0861	2.4.99.6
HMR_0862	2.4.1.65
HMR_0863	2.4.1.65
HMR_0864	2.4.1.69
HMR_0865	2.4.1.87
HMR_0866	2.4.1.69
HMR_0867	2.4.1.40
HMR_0868	2.4.1.37
HMR_0870	2.4.1.65
HMR_0871	2.4.1.65
HMR_0873	2.4.1.65
HMR_0875	2.4.1.-
HMR_0876	2.4.99.10
HMR_0877	2.4.99.8
HMR_0878	2.4.1.152
HMR_0878	2.4.1.-
HMR_0879	2.4.1.87
HMR_0880	2.4.1.69
HMR_0881	2.4.1.37
HMR_0882	2.4.1.152
HMR_0882	2.4.1.-
HMR_0883	2.4.1.69
HMR_0884	2.4.1.40
HMR_0885	2.4.1.-
HMR_0886	2.4.1.69
HMR_0887	2.4.1.40
HMR_0888	2.4.1.152
HMR_0888	2.4.1.65
HMR_0888	2.4.1.-
HMR_0889	2.4.1.149
HMR_0889	2.4.1.-
HMR_0890	2.4.1.-
HMR_0891	2.4.1.149
HMR_0891	2.4.1.-
HMR_0892	2.4.1.-
HMR_0893	2.4.1.152
HMR_0893	2.4.1.65
HMR_0893	2.4.1.-
HMR_0894	2.4.1.152
HMR_0894	2.4.1.65
HMR_0894	2.4.1.-
HMR_0895	2.4.1.152
HMR_0895	2.4.1.65
HMR_0895	2.4.1.-
HMR_0896	2.4.1.152
HMR_0896	2.4.1.65
HMR_0896	2.4.1.-
HMR_0897	2.4.1.152
HMR_0897	2.4.1.65
HMR_0897	2.4.1.-
HMR_0898	2.4.1.69
HMR_0899	2.4.1.152
HMR_0899	2.4.1.65
HMR_0899	2.4.1.-
HMR_0900	2.4.1.152
HMR_0900	2.4.1.65
HMR_0900	2.4.1.-
HMR_0901	2.4.1.37
HMR_0902	2.4.1.40
HMR_0903	2.4.1.-
HMR_0904	2.4.1.69
HMR_0905	2.4.1.40
HMR_0906	2.4.1.150
HMR_0907	2.4.1.-
HMR_0908	2.4.1.69
HMR_0909	2.4.1.69
HMR_0910	2.4.99.10
HMR_0911	2.4.1.152
HMR_0911	2.4.1.65
HMR_0911	2.4.1.-
HMR_0912	2.4.1.23
HMR_0913	1.14.14.1
HMR_0917	3.3.2.9
HMR_0917	3.3.2.10
HMR_0931	1.14.14.1
HMR_0932	1.14.14.1
HMR_0933	1.14.14.1
HMR_0935	1.14.14.1
HMR_0936	1.14.14.1
HMR_0937	1.14.14.1
HMR_0938	1.14.14.1
HMR_0939	1.14.14.1
HMR_0940	1.14.14.1
HMR_0942	1.14.14.1
HMR_0945	3.3.2.9
HMR_0945	3.3.2.10
HMR_0946	1.14.14.1
HMR_0949	3.3.2.9
HMR_0949	3.3.2.10
HMR_0950	1.14.14.1
HMR_0953	3.3.2.9
HMR_0953	3.3.2.10
HMR_0954	1.14.14.1
HMR_0957	3.3.2.9
HMR_0957	3.3.2.10
HMR_0960	1.11.1.9
HMR_0962	1.14.14.1
HMR_0963	1.11.1.9
HMR_0966	1.14.14.1
HMR_0979	1.14.14.1
HMR_0981	1.14.13.30
HMR_0984	1.14.99.1
HMR_0985	1.13.11.33
HMR_0986	1.13.11.33
HMR_0987	1.13.11.33
HMR_0988	1.11.1.9
HMR_0989	1.1.1.232
HMR_0990	1.1.1.232
HMR_0991	1.14.14.1
HMR_0992	1.14.14.1
HMR_0993	1.14.14.1
HMR_0994	1.14.14.1
HMR_0995	1.14.99.1
HMR_0996	1.14.99.1
HMR_0997	1.14.99.1
HMR_0998	1.13.11.34
HMR_0999	1.13.11.34
HMR_1026	3.3.2.9
HMR_1026	3.3.2.10
HMR_1030	1.13.11.31
HMR_1033	1.13.11.31
HMR_1034	1.13.11.31
HMR_1037	1.13.11.31
HMR_1039	1.13.11.31
HMR_1040	1.1.1.35
HMR_1040	1.3.3.6
HMR_1040	2.3.1.154
HMR_1040	2.3.1.16
HMR_1040	3.1.2.2
HMR_1040	4.2.1.17
HMR_1040	5.1.99.4
HMR_1040	6.2.1.-
HMR_1041	5.4.4.-
HMR_1042	1.3.1.-
HMR_1062	1.13.11.31
HMR_1063	1.13.11.31
HMR_1064	1.13.11.31
HMR_1065	1.1.1.35
HMR_1065	1.3.3.6
HMR_1065	2.3.1.154
HMR_1065	2.3.1.16
HMR_1065	3.1.2.2
HMR_1065	4.2.1.17
HMR_1065	5.1.99.4
HMR_1065	6.2.1.-
HMR_1066	1.1.1.35
HMR_1066	1.3.3.6
HMR_1066	2.3.1.154
HMR_1066	2.3.1.16
HMR_1066	3.1.2.2
HMR_1066	4.2.1.17
HMR_1066	5.1.99.4
HMR_1066	6.2.1.-
HMR_1067	1.1.1.35
HMR_1067	1.3.3.6
HMR_1067	2.3.1.154
HMR_1067	2.3.1.16
HMR_1067	3.1.2.2
HMR_1067	4.2.1.17
HMR_1067	5.1.99.4
HMR_1067	6.2.1.-
HMR_1068	1.1.1.35
HMR_1068	1.3.3.6
HMR_1068	2.3.1.154
HMR_1068	2.3.1.16
HMR_1068	3.1.2.2
HMR_1068	4.2.1.17
HMR_1068	5.1.99.4
HMR_1068	6.2.1.-
HMR_1069	1.1.1.35
HMR_1069	1.3.3.6
HMR_1069	2.3.1.154
HMR_1069	2.3.1.16
HMR_1069	3.1.2.2
HMR_1069	4.2.1.17
HMR_1069	5.1.99.4
HMR_1069	6.2.1.-
HMR_1070	1.1.1.35
HMR_1070	1.3.3.6
HMR_1070	2.3.1.154
HMR_1070	2.3.1.16
HMR_1070	3.1.2.2
HMR_1070	4.2.1.17
HMR_1070	5.1.99.4
HMR_1070	6.2.1.-
HMR_1073	1.13.11.31
HMR_1074	1.3.1.-
HMR_1077	1.13.11.34
HMR_1079	3.5.1.99
HMR_1081	4.4.1.20
HMR_1084	2.3.2.2
HMR_1085	3.4.13.19
HMR_1089	1.1.1.184
HMR_1092	1.14.13.30
HMR_1094	1.14.13.30
HMR_1095	1.14.13.30
HMR_1097	1.1.1.141
HMR_1099	1.1.1.141
HMR_1102	1.1.1.184
HMR_1117	1.1.1.184
HMR_1126	1.14.13.30
HMR_1127	1.14.13.30
HMR_1129	1.1.1.1
HMR_1135	6.2.1.3
HMR_1143	6.2.1.3
HMR_1148	1.1.1.184
HMR_1154	1.14.14.1
HMR_1156	1.14.14.1
HMR_1158	6.2.1.3
HMR_1160	6.2.1.3
HMR_1172	1.1.1.184
HMR_1173	1.1.1.184
HMR_1185	1.14.14.1
HMR_1186	1.14.14.1
HMR_1187	1.14.14.1
HMR_1188	1.14.14.1
HMR_1190	1.1.1.184
HMR_1215	1.1.1.184
HMR_1232	1.1.1.184
HMR_1247	6.2.1.3
HMR_1266	6.2.1.3
HMR_1268	1.1.1.184
HMR_1269	1.1.1.184
HMR_1280	1.1.1.184
HMR_1302	3.1.2.27
HMR_1302	2.3.1.65
HMR_1303	1.3.3.6
HMR_1305	1.14.99.1
HMR_1307	1.14.99.1
HMR_1311	5.3.99.4
HMR_1312	5.3.99.3
HMR_1316	5.3.99.3
HMR_1317	5.3.99.5
HMR_1321	4.2.1.-
HMR_1325	1.1.1.188
HMR_1329	1.1.1.188
HMR_1331	1.1.1.188
HMR_1332	1.1.1.184
HMR_1332	1.1.1.189
HMR_1337	1.1.1.188
HMR_1338	5.3.99.2
HMR_1341	3.1.-.-
HMR_1344	1.1.1.141
HMR_1388	1.13.11.33
HMR_1390	1.14.99.1
HMR_1391	1.14.99.1
HMR_1392	1.14.99.1
HMR_1393	1.14.99.1
HMR_1403	1.13.11.33
HMR_1404	1.14.99.1
HMR_1405	1.14.99.1
HMR_1406	1.14.99.1
HMR_1407	1.14.99.1
HMR_1465	2.5.1.21
HMR_1470	1.14.13.132
HMR_1473	5.4.99.7
HMR_1477	1.14.13.70
HMR_1478	1.14.13.70
HMR_1479	1.14.13.70
HMR_1490	1.14.13.72
HMR_1493	1.14.13.72
HMR_1494	1.14.13.72
HMR_1495	1.1.1.170
HMR_1496	1.1.1.170
HMR_1502	1.14.13.72
HMR_1503	1.14.13.72
HMR_1504	1.14.13.72
HMR_1505	1.1.1.170
HMR_1509	1.1.1.270
HMR_1512	5.3.3.5
HMR_1516	1.14.21.6
HMR_1526	1.3.1.72
HMR_1532	2.5.1.10
HMR_1536	1.14.13.70
HMR_1538	1.14.13.70
HMR_1539	1.14.13.70
HMR_1540	1.3.1.70
HMR_1543	1.14.13.72
HMR_1544	1.14.13.72
HMR_1545	1.14.13.72
HMR_1546	1.1.1.170
HMR_1547	1.1.1.270
HMR_1548	1.14.13.72
HMR_1549	1.14.13.72
HMR_1550	1.14.13.72
HMR_1551	1.1.1.170
HMR_1552	1.1.1.270
HMR_1557	1.14.21.6
HMR_1558	1.14.21.6
HMR_1565	1.3.1.21
HMR_1620	6.2.1.7
HMR_1623	1.1.1.270
HMR_1627	6.2.1.7
HMR_1629	1.14.13.95
HMR_1630	1.14.13.95
HMR_1631	1.14.13.95
HMR_1637	1.3.3.6
HMR_1637	1.17.99.-
HMR_1651	1.1.1.35
HMR_1651	1.1.1.211
HMR_1653	2.3.1.176
HMR_1653	2.3.1.16
HMR_1665	6.2.1.7
HMR_1666	6.2.1.7
HMR_1681	1.14.13.15
HMR_1685	1.14.13.15
HMR_1689	1.14.13.15
HMR_1694	2.3.1.176
HMR_1694	2.3.1.16
HMR_1701	1.3.1.3
HMR_1701	1.3.99.6
HMR_1703	5.1.99.4
HMR_1704	1.17.99.3
HMR_1706	4.2.1.107
