abbreviation	EC
RE3571R	1.14.99.1
RE3572X	1.1.1.35
RE3573X	1.1.1.35
RE3574X	3.1.2.2
RE3575X	2.3.1.16
RE3576X	1.3.3.6
RE3577X	6.2.1.3
RE3578X	4.2.1.17
RE3580X	1.3.3.6
RE3581X	1.3.1.34
RE3582X	5.3.3.8
RE3583X	4.2.1.17
RE3586X	3.1.2.2
RE3587N	5.3.99.3
RE3596C	1.1.1.184
RE3596M	1.1.1.184
RE3596X	1.1.1.184
RE3624X	1.3.3.6
RE3627C	1.1.1.35
RE3631C	3.1.2.2
RE3633C	1.3.3.6
RE3636C	1.3.3.6
RN0001C	1.14.13.8
RN0001R	1.14.13.8
RN0002N	2.1.1.13
RN0002R	2.1.1.13
RN0013C	2.1.1.13
RN0014R	2.1.1.13
RN0020C	1.14.14.1
RN0020R	1.14.14.1
RN0021C	3.3.2.9
RN0021R	3.3.2.9
RN0021X	3.3.2.9
RN0022C	3.3.2.9
RN0022R	3.3.2.9
RN0022X	3.3.2.9
RN0023C	3.3.2.9
RN0023R	3.3.2.9
RN0023X	3.3.2.9
RN0027C	1.14.14.1
RN0027R	1.14.14.1
RN0028C	3.3.2.9
RN0028R	3.3.2.9
RN0028X	3.3.2.9
RN0029C	1.14.14.1
RN0029R	1.14.14.1
RN0030C	1.14.14.1
RN0030R	1.14.14.1
RN0031C	3.3.2.9
RN0031R	3.3.2.9
RN0031X	3.3.2.9
RN0032C	1.14.14.1
RN0032R	1.14.14.1
EX_prostgh2(e)	1.1.1.184
EX_prostgi2(e)	1.1.1.184
EX_cdp(e)	1.1.1.184
EX_dtdp(e)	1.3.3.6
EX_HC00001(e)	1.3.3.6
EX_HC00002(e)	1.1.1.35
EX_HC00003(e)	1.1.1.35
EX_HC00004(e)	1.1.1.35
EX_citr_L(e)	5.3.3.8
EX_HC01944(e)	1.14.13.8
EX_C02528(e)	2.1.1.13
EX_HC02192(e)	2.1.1.13
EX_HC02193(e)	2.1.1.13
EX_HC02195(e)	2.1.1.13
EX_HC02196(e)	1.14.14.1
EX_HC02220(e)	1.14.14.1
EX_HC02191(e)	3.3.2.9
EX_HC02194(e)	3.3.2.9
EX_HC02197(e)	3.3.2.9
EX_HC02198(e)	3.3.2.9
EX_HC02202(e)	3.3.2.9
EX_HC02203(e)	3.3.2.9
EX_HC02204(e)	3.3.2.9
EX_HC02205(e)	1.14.14.1
EX_HC02206(e)	1.14.14.1
EX_HC02207(e)	1.14.14.1
HSD17B3r	1.1.1.64
FAOXC16BRx	6.2.1.24
SUCCOAPET	3.1.2.3
LEULEULAPc	3.4.13.-
PALFATPtc	6.2.1.3
CYSAMOe	1.13.11.19
DPCOAPPe	3.6.1.9
DTMPKm	2.7.4.12
DTMPKm	2.7.4.13
DTMPKm	2.7.4.9
FADDPle	3.6.1.18
FADDPle	3.6.1.9
INSK	2.7.1.73
IPDDI	5.3.3.2
LEUGLYHYc	3.4.11.1
MTHFR3	1.5.1.20
OCDCAFATPc	6.2.1.3
P5CR	1.5.1.2
PAN4PPe	3.1.3.-
PNTEHe	3.5.1.92
PTPATe	2.7.7.3
EX_5oxpro(e)	1.5.1.20
ALPA_HSx	1.1.1.101
LCAT26e	2.3.1.43
LCAT28e	2.3.1.43
XOLEST181CEH	3.1.1.13
XOLEST204CEH	3.1.1.13
PCHOLMYR_HSPLA2	3.1.1.4
PCHOLAR_HSPLA2	3.1.1.4
PEAR_HSPLA2	3.1.1.4
PAILAR_HSPLA2	3.1.1.4
HXCOAc	3.1.2.2
HDCAc	3.1.2.2
EX_3mtp(e)	3.1.1.3
ABT_Dt2	3.1.1.4
ALLTNt	3.1.1.4
MALOAtm	3.2.1.18
URIK3	2.7.1.48
CE0328te	2.7.8.27
FAS180	2.3.1.85
CA2t	3.6.3.8
EX_mqn10(e)	3.1.1.34
EX_mqn10(e)	3.1.1.23
EX_mqn11(e)	3.1.1.34
EX_mqn7(e)	3.1.1.3
EX_mqn9(e)	3.1.1.23
EX_s2l2n2m2m(e)	3.1.1.34
EX_s2l2n2m2m(e)	3.1.1.23
